"","X.1","X","total_bill","tip","sex","smoker","day","time","size"
"1",1,0,16.99,1.01,"Female","No","Sun","Dinner",2
"2",2,1,10.34,1.66,"Male","No","Sun","Dinner",3
"3",3,2,21.01,3.5,"Male","No","Sun","Dinner",3
"4",4,3,23.68,3.31,"Male","No","Sun","Dinner",2
"5",6,5,25.29,4.71,"Male","No","Sun","Dinner",4
"6",7,6,8.77,2,"Male","No","Sun","Dinner",2
"7",8,7,26.88,3.12,"Male","No","Sun","Dinner",4
"8",9,8,15.04,1.96,"Male","No","Sun","Dinner",2
"9",10,9,14.78,3.23,"Male","No","Sun","Dinner",2
"10",11,10,10.27,1.71,"Male","No","Sun","Dinner",2
"11",12,11,35.26,5,"Female","No","Sun","Dinner",4
"12",13,12,15.42,1.57,"Male","No","Sun","Dinner",2
"13",14,13,18.43,3,"Male","No","Sun","Dinner",4
"14",16,15,21.58,44,"Male","No","Sun","Dinner",2
"15",17,16,10.33,1.67,"Female","No","Sun","Dinner",3
"16",18,17,16.29,3.71,"Male","No","Sun","Dinner",3
"17",20,19,20.65,62,"Male","No","Sat","Dinner",3
"18",21,20,17.92,4.08,"Male","No","Sat","Dinner",2
"19",22,21,20.29,2.75,"Female","No","Sat","Dinner",2
"20",23,22,15.77,2.23,"Female","No","Sat","Dinner",2
"21",24,23,39.42,7.58,"Male","No","Sat","Dinner",4
"22",25,24,19.82,3.18,"Female","No","Sat","Dinner",2
"23",26,25,17.81,2.34,"Male","No","Sat","Dinner",4
"24",27,26,13.37,2,"Male","No","Sat","Dinner",2
"25",28,27,12.69,2,"Male","No","Sat","Dinner",2
"26",29,28,21.7,4.3,"Male","No","Sat","Dinner",2
"27",30,29,19.65,3,"Female","No","Sat","Dinner",2
"28",31,30,9.55,1.45,"Male","No","Sat","Dinner",2
"29",32,31,18.35,2.5,"Male","No","Sat","Dinner",4
"30",33,32,15.06,3,"Female","No","Sat","Dinner",2
"31",34,33,20.69,2.45,"Female","No","Sat","Dinner",4
"32",35,34,17.78,3.27,"Male","No","Sat","Dinner",2
"33",36,35,24.06,3.6,"Male","No","Sat","Dinner",3
"34",37,36,16.31,2,"Male","No","Sat","Dinner",3
"35",38,37,16.93,3.07,"Female","No","Sat","Dinner",3
"36",39,38,18.69,2.31,"Male","No","Sat","Dinner",3
"37",40,39,31.27,5,"Male","No","Sat","Dinner",3
"38",41,40,16.04,2.24,"Male","No","Sat","Dinner",3
"39",42,41,17.46,2.54,"Male","No","Sun","Dinner",2
"40",43,42,13.94,3.06,"Male","No","Sun","Dinner",2
"41",44,43,9.68,1.32,"Male","No","Sun","Dinner",2
"42",45,44,30.4,5.6,"Male","No","Sun","Dinner",4
"43",46,45,18.29,3,"Male","No","Sun","Dinner",2
"44",47,46,22.23,5,"Male","No","Sun","Dinner",2
"45",48,47,32.4,6,"Male","No","Sun","Dinner",4
"46",49,48,28.55,2.05,"Male","No","Sun","Dinner",3
"47",50,49,18.04,3,"Male","No","Sun","Dinner",2
"48",51,50,12.54,2.5,"Male","No","Sun","Dinner",2
"49",52,51,10.29,2.6,"Female","No","Sun","Dinner",2
"50",53,52,34.81,5.2,"Female","No","Sun","Dinner",4
"51",54,53,9.94,1.56,"Male","No","Sun","Dinner",2
"52",55,54,25.56,4.34,"Male","No","Sun","Dinner",4
"53",56,55,19.49,3.51,"Male","No","Sun","Dinner",2
"54",57,56,38.01,3,"Male","Yes","Sat","Dinner",4
"55",58,57,26.41,1.5,"Female","No","Sat","Dinner",2
"56",59,58,11.24,1.76,"Male","Yes","Sat","Dinner",2
"57",60,59,48.27,6.73,"Male","No","Sat","Dinner",4
"58",61,60,20.29,3.21,"Male","Yes","Sat","Dinner",2
"59",62,61,13.81,2,"Male","Yes","Sat","Dinner",2
"60",63,62,11.02,1.98,"Male","Yes","Sat","Dinner",2
"61",64,63,18.29,3.76,"Male","Yes","Sat","Dinner",4
"62",65,64,17.59,2.64,"Male","No","Sat","Dinner",3
"63",66,65,20.08,3.15,"Male","No","Sat","Dinner",3
"64",67,66,16.45,2.47,"Female","No","Sat","Dinner",2
"65",68,67,3.07,1,"Female","Yes","Sat","Dinner",1
"66",69,68,20.23,2.01,"Male","No","Sat","Dinner",2
"67",70,69,15.01,2.09,"Male","Yes","Sat","Dinner",2
"68",71,70,12.02,1.97,"Male","No","Sat","Dinner",2
"69",72,71,17.07,3,"Female","No","Sat","Dinner",3
"70",73,72,26.86,3.14,"Female","Yes","Sat","Dinner",2
"71",74,73,25.28,5,"Female","Yes","Sat","Dinner",2
"72",75,74,14.73,2.2,"Female","No","Sat","Dinner",2
"73",76,75,10.51,1.25,"Male","No","Sat","Dinner",2
"74",77,76,17.92,3.08,"Male","Yes","Sat","Dinner",2
"75",78,77,27.2,4,"Male","No","Thur","Lunch",4
"76",79,78,22.76,3,"Male","No","Thur","Lunch",2
"77",80,79,17.29,2.71,"Male","No","Thur","Lunch",2
"78",81,80,19.44,3,"Male","Yes","Thur","Lunch",2
"79",82,81,16.66,3.4,"Male","No","Thur","Lunch",2
"80",83,82,10.07,1.83,"Female","No","Thur","Lunch",1
"81",84,83,32.68,5,"Male","Yes","Thur","Lunch",2
"82",85,84,15.98,2.03,"Male","No","Thur","Lunch",2
"83",86,85,34.83,5.17,"Female","No","Thur","Lunch",4
"84",87,86,13.03,2,"Male","No","Thur","Lunch",2
"85",88,87,18.28,4,"Male","No","Thur","Lunch",2
"86",89,88,24.71,5.85,"Male","No","Thur","Lunch",2
"87",90,89,21.16,3,"Male","No","Thur","Lunch",2
"88",91,90,28.97,3,"Male","Yes","Fri","Dinner",2
"89",92,91,22.49,3.5,"Male","No","Fri","Dinner",2
"90",93,92,5.75,1,"Female","Yes","Fri","Dinner",2
"91",94,93,16.32,4.3,"Female","Yes","Fri","Dinner",2
"92",95,94,22.75,3.25,"Female","No","Fri","Dinner",2
"93",96,95,40.17,4.73,"Male","Yes","Fri","Dinner",4
"94",97,96,27.28,4,"Male","Yes","Fri","Dinner",2
"95",98,97,12.03,1.5,"Male","Yes","Fri","Dinner",2
"96",99,98,21.01,3,"Male","Yes","Fri","Dinner",2
"97",100,99,12.46,1.5,"Male","No","Fri","Dinner",2
"98",101,100,11.35,2.5,"Female","Yes","Fri","Dinner",2
"99",102,101,15.38,3,"Female","Yes","Fri","Dinner",2
"100",103,102,44.3,2.5,"Female","Yes","Sat","Dinner",3
"101",104,103,22.42,3.48,"Female","Yes","Sat","Dinner",2
"102",105,104,20.92,4.08,"Female","No","Sat","Dinner",2
"103",106,105,15.36,1.64,"Male","Yes","Sat","Dinner",2
"104",107,106,20.49,4.06,"Male","Yes","Sat","Dinner",2
"105",108,107,25.21,4.29,"Male","Yes","Sat","Dinner",2
"106",109,108,18.24,3.76,"Male","No","Sat","Dinner",2
"107",110,109,14.31,4,"Female","Yes","Sat","Dinner",2
"108",111,110,14,3,"Male","No","Sat","Dinner",2
"109",112,111,7.25,1,"Female","No","Sat","Dinner",1
"110",113,112,38.07,4,"Male","No","Sun","Dinner",3
"111",114,113,23.95,2.55,"Male","No","Sun","Dinner",2
"112",115,114,25.71,4,"Female","No","Sun","Dinner",3
"113",116,115,17.31,3.5,"Female","No","Sun","Dinner",2
"114",117,116,29.93,5.07,"Male","No","Sun","Dinner",4
"115",118,117,10.65,1.5,"Female","No","Thur","Lunch",2
"116",119,118,12.43,1.8,"Female","No","Thur","Lunch",2
"117",120,119,24.08,2.92,"Female","No","Thur","Lunch",4
"118",121,120,11.69,32,"Male","No","Thur","Lunch",2
"119",122,121,13.42,1.68,"Female","No","Thur","Lunch",2
"120",123,122,14.26,2.5,"Male","No","Thur","Lunch",2
"121",124,123,15.95,2,"Male","No","Thur","Lunch",2
"122",126,125,29.8,4.2,"Female","No","Thur","Lunch",6
"123",127,126,8.52,1.48,"Male","No","Thur","Lunch",2
"124",128,127,14.52,2,"Female","No","Thur","Lunch",2
"125",129,128,11.38,2,"Female","No","Thur","Lunch",2
"126",130,129,22.82,2.18,"Male","No","Thur","Lunch",3
"127",131,130,19.08,1.5,"Male","No","Thur","Lunch",2
"128",132,131,20.27,2.83,"Female","No","Thur","Lunch",2
"129",133,132,11.17,1.5,"Female","No","Thur","Lunch",2
"130",134,133,12.26,2,"Female","No","Thur","Lunch",2
"131",135,134,18.26,3.25,"Female","No","Thur","Lunch",2
"132",136,135,8.51,1.25,"Female","No","Thur","Lunch",2
"133",137,136,10.33,2,"Female","No","Thur","Lunch",2
"134",138,137,14.15,2,"Female","No","Thur","Lunch",2
"135",139,138,16,2,"Male","Yes","Thur","Lunch",2
"136",140,139,13.16,2.75,"Female","No","Thur","Lunch",2
"137",141,140,17.47,3.5,"Female","No","Thur","Lunch",2
"138",142,141,34.3,6.7,"Male","No","Thur","Lunch",6
"139",143,142,41.19,5,"Male","No","Thur","Lunch",5
"140",144,143,27.05,5,"Female","No","Thur","Lunch",6
"141",145,144,16.43,2.3,"Female","No","Thur","Lunch",2
"142",146,145,8.35,1.5,"Female","No","Thur","Lunch",2
"143",147,146,18.64,1.36,"Female","No","Thur","Lunch",3
"144",148,147,11.87,1.63,"Female","No","Thur","Lunch",2
"145",149,148,9.78,1.73,"Male","No","Thur","Lunch",2
"146",150,149,7.51,2,"Male","No","Thur","Lunch",2
"147",151,150,14.07,2.5,"Male","No","Sun","Dinner",2
"148",152,151,13.13,2,"Male","No","Sun","Dinner",2
"149",153,152,17.26,2.74,"Male","No","Sun","Dinner",3
"150",154,153,24.55,2,"Male","No","Sun","Dinner",4
"151",155,154,19.77,2,"Male","No","Sun","Dinner",4
"152",156,155,29.85,5.14,"Female","No","Sun","Dinner",5
"153",157,156,48.17,5,"Male","No","Sun","Dinner",6
"154",158,157,25,3.75,"Female","No","Sun","Dinner",4
"155",159,158,13.39,2.61,"Female","No","Sun","Dinner",2
"156",160,159,16.49,2,"Male","No","Sun","Dinner",4
"157",161,160,21.5,3.5,"Male","No","Sun","Dinner",4
"158",162,161,12.66,2.5,"Male","No","Sun","Dinner",2
"159",163,162,16.21,2,"Female","No","Sun","Dinner",3
"160",164,163,13.81,2,"Male","No","Sun","Dinner",2
"161",165,164,17.51,3,"Female","Yes","Sun","Dinner",2
"162",166,165,24.52,3.48,"Male","No","Sun","Dinner",3
"163",167,166,20.76,2.24,"Male","No","Sun","Dinner",2
"164",168,167,31.71,4.5,"Male","No","Sun","Dinner",4
"165",169,168,10.59,1.61,"Female","Yes","Sat","Dinner",2
"166",170,169,10.63,2,"Female","Yes","Sat","Dinner",2
"167",171,170,50.81,10,"Male","Yes","Sat","Dinner",3
"168",172,171,15.81,3.16,"Male","Yes","Sat","Dinner",2
"169",173,172,7.25,5.15,"Male","Yes","Sun","Dinner",2
"170",174,173,31.85,3.18,"Male","Yes","Sun","Dinner",2
"171",175,174,16.82,4,"Male","Yes","Sun","Dinner",2
"172",176,175,32.9,3.11,"Male","Yes","Sun","Dinner",2
"173",177,176,17.89,2,"Male","Yes","Sun","Dinner",2
"174",178,177,14.48,2,"Male","Yes","Sun","Dinner",2
"175",179,178,9.6,4,"Female","Yes","Sun","Dinner",2
"176",180,179,34.63,3.55,"Male","Yes","Sun","Dinner",2
"177",181,180,34.65,3.68,"Male","Yes","Sun","Dinner",4
"178",182,181,23.33,5.65,"Male","Yes","Sun","Dinner",2
"179",183,182,45.35,3.5,"Male","Yes","Sun","Dinner",3
"180",184,183,23.17,6.5,"Male","Yes","Sun","Dinner",4
"181",185,184,40.55,3,"Male","Yes","Sun","Dinner",2
"182",186,185,20.69,5,"Male","No","Sun","Dinner",5
"183",187,186,20.9,3.5,"Female","Yes","Sun","Dinner",3
"184",188,187,30.46,2,"Male","Yes","Sun","Dinner",5
"185",189,188,18.15,3.5,"Female","Yes","Sun","Dinner",3
"186",190,189,23.1,4,"Male","Yes","Sun","Dinner",3
"187",191,190,15.69,1.5,"Male","Yes","Sun","Dinner",2
"188",192,191,19.81,4.19,"Female","Yes","Thur","Lunch",2
"189",193,192,28.44,2.56,"Male","Yes","Thur","Lunch",2
"190",194,193,15.48,2.02,"Male","Yes","Thur","Lunch",2
"191",195,194,16.58,4,"Male","Yes","Thur","Lunch",2
"192",196,195,7.56,1.44,"Male","No","Thur","Lunch",2
"193",197,196,10.34,2,"Male","Yes","Thur","Lunch",2
"194",198,197,43.11,5,"Female","Yes","Thur","Lunch",4
"195",199,198,13,2,"Female","Yes","Thur","Lunch",2
"196",200,199,13.51,2,"Male","Yes","Thur","Lunch",2
"197",201,200,18.71,4,"Male","Yes","Thur","Lunch",3
"198",202,201,12.74,2.01,"Female","Yes","Thur","Lunch",2
"199",203,202,13,2,"Female","Yes","Thur","Lunch",2
"200",204,203,16.4,2.5,"Female","Yes","Thur","Lunch",2
"201",205,204,20.53,4,"Male","Yes","Thur","Lunch",4
"202",206,205,16.47,3.23,"Female","Yes","Thur","Lunch",3
"203",207,206,26.59,3.41,"Male","Yes","Sat","Dinner",3
"204",208,207,38.73,3,"Male","Yes","Sat","Dinner",4
"205",209,208,24.27,2.03,"Male","Yes","Sat","Dinner",2
"206",210,209,12.76,2.23,"Female","Yes","Sat","Dinner",2
"207",211,210,30.06,2,"Male","Yes","Sat","Dinner",3
"208",212,211,25.89,5.16,"Male","Yes","Sat","Dinner",4
"209",213,212,48.33,9,"Male","No","Sat","Dinner",4
"210",214,213,13.27,2.5,"Female","Yes","Sat","Dinner",2
"211",215,214,28.17,6.5,"Female","Yes","Sat","Dinner",3
"212",216,215,12.9,1.1,"Female","Yes","Sat","Dinner",2
"213",217,216,28.15,3,"Male","Yes","Sat","Dinner",5
"214",218,217,11.59,1.5,"Male","Yes","Sat","Dinner",2
"215",219,218,7.74,1.44,"Male","Yes","Sat","Dinner",2
"216",220,219,30.14,3.09,"Female","Yes","Sat","Dinner",4
"217",221,220,12.16,2.2,"Male","Yes","Fri","Lunch",2
"218",222,221,13.42,3.48,"Female","Yes","Fri","Lunch",2
"219",223,222,8.58,1.92,"Male","Yes","Fri","Lunch",1
"220",224,223,15.98,3,"Female","No","Fri","Lunch",3
"221",225,224,13.42,1.58,"Male","Yes","Fri","Lunch",2
"222",226,225,16.27,2.5,"Female","Yes","Fri","Lunch",2
"223",227,226,10.09,2,"Female","Yes","Fri","Lunch",2
"224",228,227,20.45,3,"Male","No","Sat","Dinner",4
"225",229,228,13.28,2.72,"Male","No","Sat","Dinner",2
"226",230,229,22.12,2.88,"Female","Yes","Sat","Dinner",2
"227",231,230,24.01,2,"Male","Yes","Sat","Dinner",4
"228",232,231,15.69,3,"Male","Yes","Sat","Dinner",3
"229",233,232,11.61,3.39,"Male","No","Sat","Dinner",2
"230",234,233,10.77,1.47,"Male","No","Sat","Dinner",2
"231",235,234,15.53,3,"Male","Yes","Sat","Dinner",2
"232",236,235,10.07,1.25,"Male","No","Sat","Dinner",2
"233",237,236,12.6,1,"Male","Yes","Sat","Dinner",2
"234",238,237,32.83,1.17,"Male","Yes","Sat","Dinner",2
"235",239,238,35.83,4.67,"Female","No","Sat","Dinner",3
"236",240,239,29.03,5.92,"Male","No","Sat","Dinner",3
"237",241,240,27.18,2,"Female","Yes","Sat","Dinner",2
"238",242,241,22.67,2,"Male","Yes","Sat","Dinner",2
"239",243,242,17.82,1.75,"Male","No","Sat","Dinner",2
"240",244,243,18.78,3,"Female","No","Thur","Dinner",2
